Marca,Modelo,Ano_Fabricacao,Ano_Modelo,Quilometragem,Combustivel,Cambio,Cor,Num_Portas,Estado_Venda,Preco_Listagem,Foi_Vendido
Fiat,Palio,2011,2011,293171,Flex,Automático,Prata,4,RS,10000,0
Peugeot,208,2023,2023,26783,Flex,Manual,Branco,4,MG,44239,0
Chevrolet,Prisma,2015,2016,115367,Flex,Automático,Cinza,4,RS,14905,0
Chevrolet,Montana,2020,2021,36188,Flex,Automático,Marrom,2,SC,23315,1
Jeep,Commander,2019,2020,41969,Flex,Automático,Marrom,4,MG,65101,1
Chevrolet,Tracker,2010,2011,294352,Flex,Automático,Cinza,2,RJ,10000,0
Citroën,C4 Cactus,2007,2008,207523,Flex,Automatizado,Branco,4,RS,10000,0
Volkswagen,Nivus,2020,2020,118362,Flex,Manual,Azul,4,SP,11666,0
Fiat,Argo,2011,2011,184236,Gasolina,Automático,Cinza,4,MG,10000,1
Toyota,Yaris,2016,2016,74845,Gasolina,Automático,Marrom,2,SP,35192,1
Peugeot,2008,2016,2017,78284,Flex,Automático,Prata,4,SP,16830,1
Hyundai,i30,2018,2018,102952,Flex,Manual,Marrom,4,RS,30858,1
Peugeot,208,2020,2020,97646,Diesel,Manual,Vermelho,4,DF,19278,0
Toyota,Corolla,2018,2019,82863,Flex,Automático,Marrom,2,RS,41007,1
Renault,Oroch,2021,2021,50812,Gasolina,Manual,Azul,2,ES,33631,1
Citroën,C4 Cactus,2016,2016,153696,Gasolina,Manual,Azul,2,PE,10000,0
Chevrolet,Prisma,2021,2021,42310,Flex,CVT,Marrom,4,CE,22034,1
Nissan,Kicks,2016,2017,86715,Gasolina,CVT,Cinza,4,RS,25479,0
Citroën,C4 Cactus,2010,2011,159451,Flex,Manual,Vermelho,4,PE,10000,0
Peugeot,3008,2014,2014,156999,Flex,Manual,Cinza,2,GO,10000,0
Fiat,Palio,2018,2018,60907,Flex,Automático,Azul,4,ES,15249,0
Fiat,Uno,2020,2020,46363,Flex,Manual,Marrom,4,ES,31226,0
Ford,Ka,2024,2025,1399,Gasolina,Manual,Branco,4,RS,52092,1
Renault,Duster,2025,2025,791,Diesel,Automático,Vermelho,2,CE,62960,1
Ford,Focus,2016,2017,95142,Etanol,Manual,Cinza,2,GO,14661,0
Chevrolet,S10,2020,2020,63341,Gasolina,Automático,Prata,4,ES,30245,1
Chevrolet,Prisma,2014,2014,199750,Flex,Automático,Azul,4,SC,10000,0
Jeep,Renegade,2005,2006,126903,Flex,Manual,Prata,4,RS,15224,0
Volkswagen,Voyage,2005,2006,233519,Diesel,Automático,Marrom,4,DF,10000,0
Fiat,Punto,2020,2020,45766,Flex,Manual,Azul,4,RJ,17134,1
Volkswagen,Virtus,2009,2010,197979,Gasolina,Manual,Preto,4,ES,10000,0
Hyundai,HB20S,2013,2013,125423,Flex,Manual,Preto,4,RS,15767,0
Citroën,Aircross,2024,2024,14175,Flex,Manual,Cinza,4,CE,39699,1
Volkswagen,Saveiro,2020,2021,26143,Gasolina,Manual,Preto,4,SC,24255,1
Toyota,Yaris,2021,2022,55292,Flex,Manual,Preto,2,DF,68224,1
Fiat,Toro,2020,2021,41995,Flex,CVT,Vermelho,2,ES,27611,1
Toyota,RAV4,2010,2011,271881,Flex,Manual,Cinza,4,RS,10000,0
Volkswagen,Virtus,2015,2016,143305,Gasolina,Manual,Cinza,4,SP,10037,1
Fiat,Punto,2014,2014,135465,Flex,Manual,Azul,4,SP,10000,1
Ford,Focus,2011,2011,182839,Flex,Manual,Vermelho,4,ES,10000,0
Fiat,Punto,2024,2024,15853,Flex,Manual,Branco,4,DF,43839,1
Chevrolet,Cruze,2019,2019,153313,Flex,Manual,Cinza,2,SP,10000,0
Ford,Fiesta,2018,2018,145254,Gasolina,Manual,Branco,4,ES,11396,0
Renault,Clio,2015,2015,116700,Gasolina,CVT,Vermelho,4,BA,13875,0
Citroën,C4 Cactus,2017,2018,64026,Flex,Manual,Branco,4,ES,22180,0
Chevrolet,Prisma,2025,2025,683,Flex,CVT,Marrom,2,CE,61526,1
Ford,EcoSport,2020,2021,25745,Flex,CVT,Marrom,4,BA,29994,1
Jeep,Commander,2024,2024,10116,Diesel,Manual,Preto,4,CE,80431,1
Chevrolet,S10,2010,2010,254801,Etanol,Automatizado,Marrom,4,PR,10000,0
Ford,Ka,2022,2022,40565,Flex,CVT,Prata,4,RS,42914,1
Citroën,Aircross,2021,2022,50982,Flex,Automático,Preto,4,RJ,41043,1
Chevrolet,Spin,2005,2005,284433,Flex,Manual,Azul,4,SP,10000,0
Peugeot,2008,2024,2025,1232,Flex,Manual,Vermelho,2,PE,69120,1
Hyundai,Creta,2011,2011,203366,Flex,Automático,Vermelho,4,GO,10000,1
Renault,Oroch,2015,2015,228407,Flex,Manual,Vermelho,4,RJ,10000,1
Hyundai,Tucson,2021,2022,52018,Flex,Automatizado,Azul,4,PR,52183,1
Jeep,Commander,2017,2018,89336,Flex,CVT,Branco,2,RJ,29383,1
Ford,Focus,2014,2014,138990,Flex,Manual,Marrom,4,GO,10123,0
Volkswagen,T-Cross,2015,2016,156833,Gasolina,Manual,Prata,2,RJ,10000,0
Honda,Fit,2008,2008,139705,Flex,CVT,Marrom,4,ES,11916,0
Chevrolet,Spin,2008,2008,126832,Flex,Manual,Vermelho,2,PR,10000,0
Hyundai,HB20,2020,2020,62437,Flex,Automático,Preto,4,RJ,49666,0
Honda,CR-V,2023,2023,40196,Flex,Automático,Preto,4,PE,72704,1
Citroën,C4 Cactus,2010,2010,161057,Flex,Manual,Preto,2,SC,10000,0
Jeep,Renegade,2010,2010,193364,Flex,Automático,Azul,2,BA,10000,0
Chevrolet,Montana,2013,2014,173521,Flex,Manual,Cinza,4,PR,10000,0
Renault,Duster,2023,2023,47265,Flex,Automático,Prata,4,PE,46103,1
Citroën,Aircross,2020,2020,32060,Flex,Automático,Azul,4,DF,40028,1
Honda,CR-V,2018,2019,56138,Flex,Automático,Cinza,4,RJ,50160,0
Renault,Oroch,2006,2006,294421,Diesel,Manual,Branco,4,PE,10000,0
Renault,Sandero,2005,2006,150496,Flex,Automático,Prata,4,MG,10000,0
Jeep,Commander,2022,2022,39463,Diesel,Manual,Cinza,4,PE,56995,1
Toyota,Yaris,2021,2021,89563,Flex,Automático,Cinza,2,BA,54755,0
Renault,Captur,2008,2008,181448,Flex,Manual,Marrom,4,MG,10000,0
Nissan,Frontier,2010,2011,169687,Flex,Manual,Branco,4,PE,10000,0
Toyota,Hilux,2019,2019,39191,Flex,CVT,Branco,4,GO,70546,1
Chevrolet,Onix,2007,2008,297315,Gasolina,CVT,Cinza,2,RJ,10000,0
Chevrolet,Cruze,2023,2024,19829,Diesel,Manual,Vermelho,4,RS,38026,1
Volkswagen,Amarok,2007,2007,155185,Flex,Automático,Vermelho,4,PE,10000,0
Peugeot,3008,2012,2012,202703,Flex,Manual,Prata,2,SP,10000,0
Nissan,Sentra,2009,2009,198455,Flex,Manual,Preto,4,SC,10000,0
Chevrolet,Spin,2020,2021,66497,Diesel,Manual,Prata,4,SP,33268,1
Chevrolet,Cruze,2009,2009,168069,Flex,Manual,Cinza,4,SC,10000,0
Fiat,Palio,2016,2016,152966,Flex,CVT,Vermelho,4,GO,10000,0
Fiat,Cronos,2016,2016,173177,Flex,Manual,Preto,4,BA,10000,0
Honda,Fit,2009,2010,360123,Flex,Automático,Cinza,4,CE,10000,0
Fiat,Palio,2013,2014,98190,Flex,Manual,Preto,4,SP,10000,1
Peugeot,3008,2023,2023,32528,Flex,Automático,Marrom,4,PE,53970,1
Honda,Fit,2007,2007,175089,Flex,Automático,Prata,4,PE,10000,0
Nissan,Kicks,2024,2025,1632,Flex,Manual,Azul,4,RJ,86278,1
Chevrolet,Cruze,2020,2021,74950,Flex,Automático,Cinza,4,PE,40425,1
Peugeot,2008,2008,2009,195432,Flex,Automático,Branco,4,PE,10000,0
Citroën,C4 Cactus,2012,2012,113038,Diesel,Manual,Cinza,4,RS,10979,0
Ford,EcoSport,2024,2024,16034,Flex,Manual,Branco,4,BA,61806,1
Renault,Sandero,2022,2022,41440,Flex,Manual,Azul,2,BA,36918,1
Volkswagen,Voyage,2025,2025,774,Flex,Automático,Cinza,4,PE,52097,1
Volkswagen,Tiguan,2019,2019,75672,Flex,Manual,Prata,2,GO,15479,1
Toyota,RAV4,2013,2014,202320,Etanol,Manual,Marrom,4,GO,10000,0
Peugeot,208,2025,2025,1554,Flex,Manual,Branco,4,SP,45400,1
Renault,Clio,2014,2015,157148,Flex,Manual,Azul,2,PR,10000,0
Honda,CR-V,2013,2013,201446,Flex,Manual,Branco,2,PE,10000,0
Citroën,Aircross,2006,2007,272104,Flex,Automático,Cinza,4,PR,10000,0
Peugeot,3008,2015,2015,72009,Diesel,Automático,Vermelho,2,PE,21673,0
Toyota,RAV4,2014,2014,182055,Flex,Automático,Azul,2,BA,12042,0
Volkswagen,Up!,2017,2017,109923,Flex,Automático,Azul,4,RS,16515,0
Hyundai,HB20,2017,2017,174372,Flex,Manual,Cinza,4,GO,13336,0
Citroën,Aircross,2008,2008,288844,Gasolina,Manual,Azul,2,SP,10000,0
Chevrolet,Montana,2015,2015,59940,Flex,Automático,Prata,4,PR,18334,0
Citroën,C3,2022,2023,50922,Flex,Manual,Azul,4,DF,41997,1
Volkswagen,Voyage,2011,2012,147384,Flex,Manual,Prata,4,SP,10000,1
Citroën,C3,2020,2020,32742,Flex,Manual,Prata,4,BA,35800,1
Renault,Oroch,2008,2008,221604,Diesel,Automático,Prata,4,BA,10000,0
Citroën,C4 Cactus,2019,2019,53326,Flex,Automático,Azul,2,PR,23185,1
Chevrolet,Onix,2019,2020,98247,Flex,Automático,Prata,4,MG,24975,1
Toyota,Yaris,2019,2020,55608,Flex,Manual,Marrom,2,RJ,43640,1
Toyota,Yaris,2005,2005,181509,Flex,Manual,Cinza,4,DF,10000,0
Citroën,C4 Cactus,2024,2025,1138,Flex,Manual,Preto,4,GO,60253,1
Toyota,Etios,2014,2014,73296,Flex,Manual,Marrom,2,GO,28830,0
Honda,Civic,2009,2009,110569,Flex,Manual,Marrom,4,CE,13051,0
Renault,Kwid,2022,2023,16882,Flex,Manual,Preto,2,MG,48851,1
Chevrolet,Onix,2013,2013,120286,Diesel,Automatizado,Prata,4,RS,12155,0
Ford,Ka,2023,2024,10384,Flex,CVT,Azul,4,GO,52426,1
Fiat,Punto,2008,2009,328775,Diesel,CVT,Preto,4,RS,10000,0
Volkswagen,Fox,2005,2006,230363,Flex,Automático,Prata,4,SC,10000,1
Citroën,C3,2012,2013,176014,Flex,Automatizado,Branco,2,PR,10000,0
Hyundai,Tucson,2018,2019,57855,Flex,CVT,Prata,4,ES,37703,1
Chevrolet,Cobalt,2010,2011,225279,Flex,CVT,Branco,4,DF,10000,0
Peugeot,2008,2011,2011,136367,Gasolina,Manual,Preto,4,CE,10000,0
Jeep,Renegade,2022,2023,25485,Flex,CVT,Marrom,4,CE,92811,1
Jeep,Renegade,2008,2009,389251,Flex,Manual,Marrom,4,SP,10000,0
Peugeot,3008,2021,2021,46144,Flex,Manual,Marrom,4,ES,44234,1
Citroën,Aircross,2008,2008,169408,Flex,Manual,Cinza,2,SP,10000,0
Nissan,March,2015,2015,90260,Flex,Manual,Vermelho,4,RS,19085,0
Toyota,Etios,2023,2024,10402,Flex,Automático,Prata,4,RS,113476,1
Fiat,Toro,2017,2018,61591,Flex,CVT,Prata,4,RS,19162,1
Volkswagen,Saveiro,2005,2005,337631,Flex,Automático,Cinza,4,RJ,10000,0
Peugeot,3008,2008,2009,298127,Flex,Automático,Prata,4,ES,10000,0
Jeep,Renegade,2012,2012,93713,Flex,Manual,Azul,4,BA,20343,1
Peugeot,3008,2007,2008,223968,Flex,Manual,Preto,4,GO,10000,0
Renault,Duster,2008,2009,326751,Flex,Manual,Cinza,4,PR,10000,0
Toyota,SW4,2018,2019,102325,Gasolina,Automático,Marrom,4,ES,42235,1
Peugeot,208,2009,2010,177317,Flex,Automático,Preto,4,PR,10000,0
Honda,City,2025,2025,799,Flex,Manual,Marrom,4,SC,108703,0
Toyota,SW4,2019,2020,42007,Flex,Automatizado,Branco,2,DF,52954,0
Fiat,Mobi,2011,2011,122081,Flex,Manual,Marrom,4,SC,10000,0
Peugeot,2008,2021,2021,38946,Flex,Manual,Branco,4,PR,29977,1
Renault,Duster,2009,2009,293495,Flex,Automático,Cinza,4,GO,10000,0
Ford,Fiesta,2006,2006,159841,Flex,Automático,Azul,4,CE,10000,0
Nissan,Frontier,2014,2014,137920,Flex,Automático,Vermelho,4,SP,19745,0
Chevrolet,Onix Plus,2013,2014,80744,Flex,Manual,Cinza,4,RJ,10000,1
Peugeot,208,2013,2013,126036,Flex,Automático,Azul,4,SP,10130,0
Peugeot,208,2014,2014,98779,Flex,CVT,Azul,4,BA,12930,1
Nissan,Frontier,2005,2006,121263,Gasolina,Automático,Preto,4,PR,12317,0
Hyundai,Creta,2020,2021,32638,Flex,CVT,Azul,4,RS,49786,1
Fiat,Mobi,2022,2023,19337,Flex,Manual,Cinza,4,SP,41006,1
Nissan,March,2016,2016,76108,Flex,Manual,Cinza,4,SP,20495,0
Fiat,Punto,2025,2025,2322,Flex,Automático,Prata,2,CE,48524,1
Volkswagen,Jetta,2021,2021,56129,Etanol,Automático,Branco,2,BA,32168,1
Citroën,Aircross,2011,2012,251003,Flex,Automático,Prata,4,SP,10000,0
Volkswagen,Up!,2005,2005,210157,Flex,Manual,Marrom,4,SC,10000,0
Nissan,Frontier,2012,2013,93018,Flex,Automático,Vermelho,4,RJ,22037,0
Honda,WR-V,2019,2020,124354,Flex,Manual,Vermelho,2,RJ,29328,1
Chevrolet,Spin,2020,2021,38133,Flex,Manual,Branco,4,DF,40453,1
Citroën,Aircross,2014,2015,123384,Flex,Automatizado,Vermelho,4,RJ,10000,1
Renault,Logan,2007,2008,204375,Flex,Automático,Prata,4,BA,10000,0
Volkswagen,Amarok,2009,2009,143112,Flex,Manual,Marrom,4,DF,10000,0
Chevrolet,Cruze,2023,2024,16280,Flex,Manual,Vermelho,4,DF,55952,1
Toyota,Etios,2010,2011,139792,Flex,Manual,Cinza,4,RJ,15732,0
Renault,Duster,2020,2021,62733,Flex,Automático,Prata,2,RS,33741,1
Renault,Duster,2013,2013,122349,Flex,Automático,Branco,4,PE,10000,0
Citroën,C3,2010,2011,209655,Gasolina,Manual,Prata,4,MG,10000,0
Toyota,SW4,2013,2014,100910,Flex,Manual,Branco,4,ES,22235,1
Honda,CR-V,2022,2022,42036,Flex,Manual,Azul,2,MG,78785,1
Hyundai,Tucson,2022,2022,36322,Flex,CVT,Cinza,4,RS,45121,1
Chevrolet,S10,2021,2021,52817,Gasolina,Automático,Branco,4,RJ,38792,0
Citroën,C4 Cactus,2022,2023,12703,Diesel,Manual,Marrom,4,MG,44908,1
Peugeot,208,2025,2025,1434,Flex,Automático,Cinza,2,CE,50826,1
Fiat,Uno,2009,2009,199884,Flex,Automático,Preto,4,ES,10000,0
Ford,Fiesta,2018,2018,106149,Flex,Manual,Prata,2,PE,19402,0
Hyundai,Creta,2020,2020,85793,Gasolina,Manual,Vermelho,4,RJ,26467,1
Toyota,Yaris,2017,2018,143862,Gasolina,Automático,Vermelho,4,GO,26449,1
Nissan,March,2013,2014,161464,Flex,Manual,Vermelho,2,CE,10366,0
Hyundai,Tucson,2010,2011,224592,Flex,Manual,Marrom,2,SP,10000,0
Chevrolet,Cruze,2005,2006,267165,Gasolina,Automático,Cinza,4,PR,10000,0
Citroën,C4 Cactus,2014,2014,111665,Flex,Automático,Branco,2,RJ,14351,0
Toyota,SW4,2016,2017,92616,Flex,Manual,Branco,2,GO,22650,0
Volkswagen,Virtus,2012,2012,162959,Etanol,CVT,Prata,2,PE,10000,0
Volkswagen,Fox,2025,2025,1605,Flex,CVT,Cinza,4,PR,80785,1
Peugeot,2008,2016,2017,105151,Flex,Automático,Branco,2,PR,16468,0
Chevrolet,Spin,2023,2024,17034,Flex,Automatizado,Marrom,4,BA,38367,1
Toyota,Corolla,2010,2010,192014,Gasolina,Automático,Marrom,4,CE,10000,0
Renault,Duster,2011,2011,159996,Flex,Manual,Preto,4,PR,10000,0
Renault,Oroch,2020,2021,77780,Flex,Automático,Azul,2,RS,17592,0
Volkswagen,Fox,2020,2020,56007,Gasolina,Manual,Prata,4,MG,19391,0
Jeep,Compass,2011,2012,159973,Flex,Automático,Prata,4,GO,13211,0
Peugeot,208,2008,2009,226990,Flex,Automático,Azul,4,PR,10000,0
Nissan,March,2018,2019,73104,Gasolina,Manual,Azul,4,RJ,31996,1
Hyundai,HB20,2008,2008,219304,Flex,Manual,Branco,2,PR,10000,0
Honda,Civic,2006,2007,249770,Flex,Automático,Marrom,2,BA,10000,0
Peugeot,2008,2025,2025,1382,Flex,Manual,Cinza,4,PR,48759,1
Fiat,Palio,2019,2020,48521,Flex,Automático,Vermelho,4,RS,21122,1
Jeep,Compass,2005,2005,265479,Flex,CVT,Cinza,4,MG,10000,0
Toyota,Corolla,2013,2013,195761,Flex,Automático,Vermelho,2,MG,10000,0
Ford,Ka,2010,2011,96968,Flex,Manual,Azul,4,RS,13690,0
Honda,HR-V,2007,2007,258786,Flex,Manual,Branco,4,ES,10000,0
Renault,Sandero,2015,2016,132961,Flex,Manual,Branco,4,MG,14357,0
Fiat,Punto,2005,2006,197687,Gasolina,Automático,Preto,4,ES,10000,0
Chevrolet,Cruze,2024,2024,20410,Flex,Automático,Azul,2,GO,56545,1
Toyota,Hilux,2023,2024,16412,Flex,Manual,Preto,4,SC,74399,1
Jeep,Renegade,2022,2023,30714,Flex,Manual,Cinza,4,RS,67418,1
Peugeot,208,2025,2025,1047,Flex,Manual,Preto,4,DF,75178,1
Hyundai,Creta,2017,2018,95025,Flex,CVT,Preto,4,SP,36326,1
Citroën,C4 Cactus,2008,2009,385259,Flex,Automático,Cinza,4,RJ,10000,0
Renault,Clio,2024,2024,9057,Flex,Manual,Cinza,2,PE,41806,1
Honda,WR-V,2022,2022,39942,Flex,Manual,Azul,4,PE,69186,1
Renault,Sandero,2020,2020,36202,Flex,Manual,Marrom,2,PE,33240,1
Hyundai,i30,2006,2006,180316,Flex,Manual,Cinza,4,SC,10000,0
Volkswagen,Gol,2020,2020,32973,Gasolina,Manual,Branco,4,SP,40006,1
Chevrolet,Montana,2010,2010,218488,Flex,Automático,Marrom,4,PE,10000,0
Honda,HR-V,2014,2015,132118,Flex,CVT,Branco,2,ES,16847,0
Ford,Focus,2007,2007,277340,Flex,Automático,Vermelho,2,CE,10000,1
Ford,Ka,2024,2024,21291,Gasolina,Automático,Vermelho,4,SP,47140,1
Toyota,Hilux,2005,2006,251577,Flex,Manual,Branco,4,ES,10000,0
Fiat,Mobi,2017,2018,155270,Flex,Manual,Vermelho,4,BA,11559,0
Nissan,Kicks,2014,2015,85873,Gasolina,Manual,Vermelho,4,RJ,26212,1
Volkswagen,Jetta,2007,2007,190822,Flex,Automatizado,Cinza,4,CE,10000,0
Volkswagen,Gol,2008,2009,232237,Flex,Manual,Cinza,2,PR,10000,0
Honda,City,2006,2007,134160,Flex,CVT,Azul,4,CE,11941,0
Renault,Logan,2016,2017,83114,Flex,Automático,Branco,4,ES,18131,1
Fiat,Strada,2011,2012,253778,Flex,Manual,Preto,2,ES,10000,0
Jeep,Commander,2018,2019,80061,Flex,Manual,Azul,4,BA,48007,0
Fiat,Toro,2015,2016,135874,Flex,CVT,Preto,4,MG,10532,0
Ford,EcoSport,2007,2007,182123,Gasolina,Manual,Cinza,4,RS,10000,0
Ford,Focus,2016,2016,119606,Gasolina,Manual,Prata,2,BA,17040,1
Honda,WR-V,2020,2020,59705,Flex,Manual,Azul,4,ES,42814,1
Fiat,Mobi,2024,2024,14927,Flex,CVT,Preto,4,ES,46275,1
Hyundai,i30,2008,2008,129397,Flex,Manual,Branco,2,ES,10000,0
Renault,Oroch,2006,2006,222403,Flex,Manual,Branco,4,PE,10000,1
Hyundai,HB20,2010,2010,164131,Gasolina,Automatizado,Marrom,2,GO,10000,0
Nissan,Kicks,2010,2011,125466,Flex,Automático,Branco,4,RS,14255,0
Chevrolet,Montana,2016,2017,184481,Flex,Automático,Cinza,4,CE,10000,0
Jeep,Renegade,2009,2009,202580,Flex,Manual,Marrom,4,RS,10000,0
Volkswagen,Polo,2023,2024,10741,Flex,Manual,Branco,2,GO,51865,1
Fiat,Mobi,2018,2019,110233,Flex,Automático,Azul,4,BA,24484,0
Chevrolet,Prisma,2016,2017,70199,Flex,CVT,Azul,4,RJ,14329,1
Citroën,C4 Cactus,2005,2006,146883,Gasolina,Automático,Vermelho,2,GO,10000,0
Chevrolet,Prisma,2010,2010,109592,Flex,CVT,Branco,4,CE,12946,0
Chevrolet,Tracker,2023,2023,14194,Flex,Manual,Preto,2,RJ,36458,1
Renault,Logan,2024,2025,2426,Gasolina,Manual,Marrom,4,PE,57982,1
Nissan,March,2014,2014,90560,Flex,Manual,Preto,4,MG,19186,1
Nissan,March,2015,2015,143775,Flex,Manual,Azul,4,RS,14186,0
Hyundai,Creta,2009,2009,233153,Flex,Automatizado,Marrom,2,PR,10000,0
Fiat,Palio,2008,2008,268285,Flex,CVT,Preto,4,BA,10000,0
Fiat,Strada,2018,2019,83408,Flex,Automático,Branco,4,ES,21680,1
Hyundai,HB20S,2009,2010,196539,Gasolina,CVT,Preto,4,GO,10000,1
Honda,HR-V,2023,2024,6647,Flex,Manual,Preto,2,SC,117033,1
Toyota,SW4,2022,2023,31330,Flex,Manual,Azul,4,ES,87678,1
Volkswagen,Nivus,2007,2007,299450,Flex,Manual,Azul,4,ES,10000,0
Chevrolet,Montana,2018,2018,115515,Flex,Automático,Vermelho,4,PE,19424,0
Peugeot,3008,2016,2017,83558,Flex,Manual,Prata,4,ES,20570,1
Peugeot,2008,2010,2011,212021,Flex,Automático,Vermelho,2,PE,10000,0
Citroën,C3,2006,2007,154629,Diesel,Manual,Marrom,2,ES,10000,0
Peugeot,208,2014,2015,107849,Flex,Manual,Cinza,4,RJ,17475,0
Citroën,C4 Cactus,2009,2009,240964,Diesel,Manual,Vermelho,4,PE,10000,0
Jeep,Commander,2014,2015,122489,Gasolina,Manual,Marrom,4,MG,24479,0
Citroën,C4 Cactus,2009,2010,171259,Flex,Manual,Vermelho,4,BA,10000,0
Chevrolet,Cobalt,2019,2020,62001,Flex,CVT,Preto,2,RS,33789,1
Hyundai,i30,2008,2008,114103,Flex,Manual,Branco,4,MG,11749,0
Toyota,Hilux,2012,2013,171091,Flex,Automático,Preto,4,RS,15781,0
Jeep,Commander,2019,2019,49904,Gasolina,Manual,Azul,4,DF,48447,0
Toyota,Etios,2014,2015,88961,Flex,Automático,Vermelho,2,BA,32431,1
Honda,Fit,2019,2020,60382,Flex,Manual,Cinza,4,RJ,52642,0
Ford,Fiesta,2006,2006,183835,Flex,CVT,Prata,4,RJ,10000,0
Ford,EcoSport,2023,2023,22076,Flex,Automático,Vermelho,4,RJ,52982,1
Honda,CR-V,2014,2014,104680,Gasolina,Automático,Prata,4,CE,26678,0
Chevrolet,Spin,2014,2014,112868,Flex,Automático,Preto,4,RJ,12764,1
Citroën,C3,2014,2014,83140,Flex,Automático,Vermelho,2,GO,18873,1
Hyundai,Tucson,2007,2007,119773,Gasolina,Manual,Vermelho,4,BA,10000,0
Jeep,Compass,2024,2025,753,Flex,Automático,Cinza,4,CE,80397,1
Jeep,Compass,2024,2024,18840,Flex,CVT,Vermelho,4,GO,126200,1
Chevrolet,Cruze,2015,2015,153382,Flex,Automático,Branco,4,PR,10000,0
Peugeot,3008,2023,2023,18171,Flex,Manual,Azul,4,RJ,39074,1
Volkswagen,Polo,2016,2016,123549,Flex,Automático,Vermelho,4,CE,15670,0
Citroën,C3,2010,2011,279034,Gasolina,Automático,Cinza,4,ES,10000,0
Jeep,Compass,2025,2025,1336,Etanol,Manual,Branco,4,RJ,83124,0
Honda,Civic,2013,2013,137474,Flex,CVT,Preto,4,SP,18785,0
Fiat,Strada,2007,2008,332806,Gasolina,Automático,Preto,4,BA,10000,0
Toyota,Hilux,2020,2020,64435,Flex,Automatizado,Azul,4,MG,51206,1
Volkswagen,Nivus,2006,2007,321933,Flex,Manual,Vermelho,4,RS,10000,0
Volkswagen,T-Cross,2012,2013,102647,Gasolina,Manual,Azul,4,ES,14041,0
Peugeot,2008,2006,2007,343604,Flex,Manual,Marrom,2,PR,10000,0
Ford,Focus,2020,2020,61447,Flex,Manual,Branco,4,PR,25566,0
Jeep,Renegade,2011,2011,140113,Flex,Manual,Branco,4,CE,14360,0
Toyota,SW4,2007,2007,228618,Flex,CVT,Azul,4,DF,10000,0
Fiat,Mobi,2016,2017,132184,Gasolina,Automatizado,Prata,4,BA,10294,0
Nissan,Frontier,2013,2014,87021,Gasolina,Automático,Marrom,4,PR,24518,0
Toyota,Yaris,2015,2016,135875,Diesel,Automático,Preto,4,MG,29358,0
Honda,Fit,2011,2012,258300,Flex,Automático,Cinza,2,SC,10000,0
Honda,WR-V,2005,2006,263329,Flex,CVT,Cinza,2,ES,10000,0
Volkswagen,Voyage,2008,2008,186641,Gasolina,Manual,Prata,4,ES,10000,0
Fiat,Argo,2009,2010,167275,Flex,Manual,Cinza,2,SP,10000,0
Nissan,Sentra,2007,2008,252571,Flex,Automático,Azul,4,DF,10000,0
Honda,CR-V,2006,2006,340872,Flex,Automatizado,Marrom,4,BA,10000,0
Peugeot,2008,2018,2018,62489,Gasolina,Automático,Vermelho,2,SC,29410,1
Jeep,Renegade,2008,2008,179602,Flex,CVT,Azul,4,PE,10000,0
Citroën,C4 Cactus,2007,2008,250160,Flex,Automatizado,Azul,4,GO,10000,0
Ford,EcoSport,2023,2024,17711,Flex,CVT,Azul,4,ES,74743,1
Ford,Fiesta,2005,2006,319637,Flex,Automatizado,Preto,2,MG,10000,0
Chevrolet,Spin,2011,2011,342695,Flex,Manual,Marrom,2,SP,10000,0
Peugeot,208,2008,2008,148085,Gasolina,Automático,Branco,4,SC,10000,0
Jeep,Compass,2015,2015,95932,Flex,Automático,Preto,4,PR,29875,1
Renault,Logan,2013,2013,232895,Diesel,Automático,Vermelho,4,CE,10000,0
Toyota,Hilux,2012,2012,161210,Flex,CVT,Branco,4,SC,12416,0
Renault,Sandero,2021,2022,48478,Flex,Automático,Marrom,4,CE,29251,1
Chevrolet,Spin,2005,2005,228471,Diesel,Automático,Branco,4,ES,10000,0
Hyundai,Creta,2007,2007,214309,Flex,Manual,Azul,4,PE,10000,0
Toyota,Etios,2021,2021,71944,Flex,Manual,Cinza,2,SC,51103,1
Honda,City,2007,2008,202707,Flex,Automático,Azul,4,PR,10000,0
Citroën,C3,2020,2021,24843,Flex,Automático,Vermelho,4,SC,47344,1
Ford,EcoSport,2010,2011,146346,Flex,Manual,Marrom,4,RS,10000,0
Jeep,Renegade,2008,2009,173366,Flex,Manual,Preto,4,SC,10000,0
Peugeot,2008,2021,2022,30824,Etanol,Manual,Marrom,2,RJ,52146,1
Citroën,C3,2008,2009,133902,Flex,Manual,Cinza,4,RJ,10000,0
Peugeot,2008,2009,2010,196007,Diesel,CVT,Marrom,2,PE,10000,0
Hyundai,i30,2020,2021,39627,Flex,Manual,Prata,4,SC,44491,1
Hyundai,Creta,2021,2022,55655,Flex,Automático,Azul,4,BA,52985,0
Nissan,March,2024,2025,1760,Flex,Manual,Branco,2,MG,67954,1
Jeep,Compass,2016,2017,116564,Gasolina,Automático,Vermelho,4,ES,34069,0
Toyota,Etios,2024,2024,13850,Flex,Manual,Preto,4,SC,72085,1
Renault,Kwid,2023,2024,19669,Flex,Manual,Prata,4,CE,50733,1
Ford,Focus,2009,2010,193095,Flex,Manual,Cinza,4,PR,10000,0
Peugeot,208,2016,2017,89106,Flex,Manual,Prata,4,RJ,22095,1
